Serial_No,Date(%y-%m-%d),District,Crop,N(kg/ha),P(kg/ha),K(kg/ha),pH,Rainfall(mm),Temperature(°C),Humidity(%),Market_Price(INR/kg),Yield(kg/ha),Total_Market_Price(INR/ha)
19,2025-02-17,Namakkal,Brinjal,97,50,81,7.4,872,27,87,82.24,8460.0,695750.4
20,2025-01-16,Dindigul,Watermelon,163,88,134,7.3,1376,32,89,55.96,15110.0,845555.6
21,2025-01-17,Ariyalur,Cauliflower,137,53,101,6.3,952,22,67,17.45,7940.0,138553.0
22,2025-02-03,Krishnagiri,Rice,141,69,115,7.1,1012,24,52,125.07,5360.0,670375.2
23,2025-02-15,Thoothukudi,Carrot,88,45,79,7.2,519,19,79,191.46,8130.0,1556569.8
24,2025-02-02,Trichy,Chili,121,72,118,6.7,818,29,78,187.71,2290.0,429855.9
25,2025-02-07,Erode,Ginger,105,50,82,6.0,1653,33,90,32.06,6140.0,196848.4
26,2025-02-14,Salem,Mango,106,70,81,7.1,811,27,88,173.77,29270.0,5086247.9
27,2025-01-06,Cuddalore,Cotton,90,70,69,7.1,779,29,54,37.27,1350.0,50314.5
28,2025-02-05,Kanyakumari,Tomato,156,80,100,6.6,1007,23,79,116.31,9570.0,1113086.7
29,2025-01-09,Karur,Apple,117,74,106,7.0,1001,25,50,147.62,10980.0,1620867.6
30,2025-01-26,Kanyakumari,Cabbage,170,73,94,7.4,893,21,60,35.44,3860.0,136798.4
31,2025-01-20,Theni,Rice,147,51,116,6.2,1152,26,58,143.95,3720.0,535494.0
32,2025-02-01,Trichy,Pumpkin,101,58,85,6.2,916,31,57,35.46,14660.0,519843.6
33,2025-02-09,Theni,Banana,184,85,151,6.7,1362,30,56,147.91,23360.0,3455177.6
34,2025-01-19,Thanjavur,Mango,120,61,92,7.2,1131,25,84,100.68,15610.0,1571614.8
35,2025-02-04,Ooty,Apple,126,89,103,6.3,1147,30,89,84.98,5540.0,470789.2
36,2025-02-14,Perambalur,Wheat,120,66,93,6.7,1000,20,66,60.55,5820.0,352401.0
37,2025-01-15,Krishnagiri,Peas,92,41,82,6.2,604,20,90,16.97,6600.0,112002.0
38,2025-01-27,Karur,Wheat,126,41,98,7.1,955,23,50,23.6,6270.0,147972.0
39,2025-02-07,Tiruvallur,Apple,122,81,122,6.5,1237,26,90,117.69,10160.0,1195730.4
40,2025-02-11,Pudukkottai,Banana,173,105,134,7.1,1462,30,51,75.12,28810.0,2164207.2
41,2025-02-03,Tirupur,Cauliflower,132,63,77,6.6,803,21,88,172.03,4390.0,755211.7
42,2025-01-30,Erode,Brinjal,93,74,92,7.4,1284,27,51,86.53,9490.0,821169.7
43,2025-01-15,Tirunelveli,Pumpkin,117,52,62,6.7,1032,33,71,106.96,15610.0,1669645.6
44,2025-01-01,Villupuram,Banana,151,92,144,7.4,1305,32,51,78.85,32550.0,2566567.5
45,2025-02-16,Trichy,Onion,112,66,71,6.2,1075,24,62,38.78,17640.0,684079.2
46,2025-02-06,Coimbatore,Cabbage,128,90,110,6.3,881,21,50,81.8,4240.0,346832.0
47,2025-02-14,Thanjavur,Chili,123,61,112,7.0,934,29,62,139.77,3580.0,500376.6
48,2025-01-10,Thanjavur,Cabbage,130,90,116,7.3,815,23,54,165.02,4340.0,716186.8
49,2025-02-04,Tiruvallur,Groundnut,97,33,44,7.2,737,24,82,100.7,1190.0,119833.0
50,2025-01-02,Nagapattinam,Lemon,120,64,79,7.4,1198,25,90,135.34,8920.0,1207232.8
51,2025-01-17,Ramanathapuram,Onion,95,71,98,6.4,1036,24,69,177.79,17410.0,3095323.9
52,2025-02-17,Karur,Chickpea,94,54,51,7.5,765,22,81,11.72,2540.0,29768.8
53,2025-02-10,Thoothukudi,Mango,118,53,106,7.2,1093,26,89,151.37,20220.0,3060701.4
54,2025-01-08,Virdhunagar,Tomato,135,75,101,7.2,889,25,85,101.04,6540.0,660801.6
55,2025-02-16,Cuddalore,Sugarcane,155,90,139,7.1,1965,29,56,109.16,75420.0,8232847.2
56,2025-02-09,Virdhunagar,Lemon,140,67,87,7.4,1397,25,62,155.21,18630.0,2891562.3
57,2025-02-09,Trichy,Apple,112,73,114,6.3,1221,26,58,23.19,13360.0,309818.4
58,2025-01-24,Sankagiri,Ginger,92,35,58,6.9,1548,28,88,68.86,5290.0,364269.4
59,2025-02-12,Perambalur,Cotton,114,69,67,6.6,999,25,62,175.63,1510.0,265201.3
60,2025-01-27,Vellore,Groundnut,58,50,71,7.1,424,26,73,174.93,1100.0,192423.0
61,2025-01-01,Thoothukudi,Banana,170,92,124,7.1,1237,31,82,162.48,39490.0,6416335.2
62,2025-01-01,Ramanathapuram,Maize,130,86,137,6.0,1115,27,51,136.61,7500.0,1024575.0
63,2025-01-30,Tiruvallur,Brinjal,129,58,81,7.0,923,30,65,150.99,7090.0,1070519.1
64,2025-01-29,Vellore,Watermelon,151,84,119,7.4,1240,30,77,184.2,8930.0,1644906.0
65,2025-01-09,Sankagiri,Mango,146,65,73,6.5,810,29,50,93.58,29700.0,2779326.0
66,2025-01-18,Erode,Sugarcane,193,89,122,6.8,1931,33,89,51.64,68060.0,3514618.4
67,2025-01-08,Sankagiri,Watermelon,159,78,124,7.2,1503,34,79,15.0,11780.0,176700.0
68,2025-01-02,Virdhunagar,Mango,141,50,97,6.7,879,29,63,91.87,28080.0,2579709.6
69,2025-02-18,Virdhunagar,Tapioca,80,30,96,6.1,1305,25,87,81.01,18970.0,1536759.7
70,2025-01-14,Krishnagiri,Maize,161,85,105,6.1,821,28,86,136.72,7980.0,1091025.6
71,2025-01-21,Theni,Tapioca,123,30,78,6.5,1026,25,61,159.5,20170.0,3217115.0
72,2025-01-20,Cuddalore,Onion,134,52,93,6.2,906,23,90,42.28,16130.0,681976.4
73,2025-02-17,Tiruvannamalai,Maize,159,77,135,6.2,1067,26,89,159.47,5940.0,947251.8
74,2025-01-10,Trichy,Cotton,109,47,72,6.8,831,29,87,62.73,1980.0,124205.4
75,2025-02-09,Karur,Peas,119,51,97,7.4,996,21,63,175.84,8080.0,1420787.2
76,2025-01-23,Pudukkottai,Wheat,107,60,81,7.2,753,24,66,182.95,6050.0,1106847.5
77,2025-01-08,Pudukkottai,Tapioca,110,33,61,6.3,1426,28,89,78.33,25960.0,2033446.8
78,2025-02-16,Ariyalur,Rice,123,69,80,6.3,1253,26,82,51.87,3980.0,206442.6
79,2025-01-25,Pudukkottai,Ginger,103,31,51,6.1,1353,31,53,141.78,5250.0,744345.0
80,2025-02-13,Villupuram,Mango,130,53,99,7.0,944,26,68,189.31,12830.0,2428847.3
81,2025-02-16,Kanchipuram,Wheat,94,51,89,6.6,805,25,80,176.38,5660.0,998310.8
82,2025-01-30,Kallakurichi,Ginger,80,56,65,6.5,1631,32,81,61.59,5890.0,362765.1
83,2025-02-02,Namakkal,Cabbage,136,85,104,6.8,753,22,51,50.91,3540.0,180221.4
84,2025-02-03,Nagapattinam,Tomato,149,94,137,6.6,861,25,89,82.55,5410.0,446595.5
85,2025-01-23,Madurai,Cotton,115,64,89,6.8,708,29,82,58.68,1960.0,115012.8
86,2025-01-01,Sivaganga,Rice,121,57,106,6.6,1142,26,68,99.04,3770.0,373380.8
87,2025-01-10,Tiruvallur,Apple,133,72,96,7.4,1199,26,75,58.69,13380.0,785272.2
88,2025-01-15,Ariyalur,Cauliflower,112,74,82,7.3,1035,21,87,122.82,6980.0,857283.6
89,2025-01-31,Villupuram,Ginger,90,57,76,6.7,1316,28,82,90.02,6340.0,570726.8
90,2025-01-24,Coimbatore,Maize,170,79,140,7.0,757,29,63,86.72,7080.0,613977.6
91,2025-01-31,Tiruvallur,Groundnut,83,44,48,6.4,846,24,67,73.96,920.0,68043.2
92,2025-01-03,Kanchipuram,Apple,158,66,91,7.2,1237,29,62,125.77,10730.0,1349512.1
93,2025-01-20,Krishnagiri,Chickpea,103,39,43,6.9,765,20,70,62.1,2930.0,181953.0
94,2025-01-13,Namakkal,Peas,90,42,60,7.2,636,23,60,187.9,4490.0,843671.0
95,2025-02-07,Kanyakumari,Cabbage,148,69,111,7.4,1177,21,61,62.45,3800.0,237310.0
96,2025-02-05,Tiruvallur,Lemon,98,55,91,7.5,1291,28,70,51.19,13600.0,696184.0
97,2025-01-09,Ramanathapuram,Lemon,131,68,99,7.2,1220,28,65,54.05,15240.0,823722.0
98,2025-01-19,Tirunelveli,Pumpkin,92,69,70,7.2,999,32,85,169.35,15140.0,2563959.0
99,2025-02-16,Thoothukudi,Lemon,137,68,108,6.6,1192,27,66,113.24,17090.0,1935271.6
100,2025-01-26,Tirupur,Wheat,115,51,67,6.0,762,23,71,159.75,5530.0,883417.5
101,2025-01-20,Ariyalur,Tomato,138,84,138,6.6,795,20,62,54.33,9710.0,527544.3
102,2025-01-16,Trichy,Brinjal,97,58,89,6.2,1299,30,55,171.28,12660.0,2168404.8
103,2025-02-15,Thoothukudi,Soybean,139,61,67,6.8,788,27,68,55.81,2540.0,141757.4
104,2025-02-16,Tirunelveli,Watermelon,150,99,126,7.4,1650,35,52,140.2,10950.0,1535190.0
105,2025-01-04,Tiruvallur,Tapioca,129,47,82,7.2,1265,29,82,120.43,14420.0,1736600.6
106,2025-01-28,Dindigul,Onion,109,63,67,7.2,615,20,89,123.03,16980.0,2089049.4
107,2025-01-22,Sivaganga,Mango,149,51,76,7.5,1161,26,68,23.49,18060.0,424229.4
108,2025-02-18,Villupuram,Banana,156,89,127,6.6,1315,33,75,133.61,38360.0,5125279.6
109,2025-01-10,Cuddalore,Brinjal,116,73,84,6.2,859,25,64,103.35,14640.0,1513044.0
110,2025-01-10,Cuddalore,Mango,141,68,107,6.8,834,30,63,13.56,18450.0,250182.0
111,2025-02-01,Thoothukudi,Cabbage,164,68,98,7.2,733,21,62,171.98,3390.0,583012.2
112,2025-01-27,Thanjavur,Maize,124,66,134,7.3,964,26,70,164.57,7610.0,1252377.7
113,2025-01-18,Perambalur,Cauliflower,142,76,110,6.4,903,23,72,51.06,7420.0,378865.2
114,2025-02-18,Ariyalur,Maize,148,87,126,6.1,1197,27,71,185.99,7790.0,1448862.1
115,2025-01-10,Theni,Cotton,120,58,97,6.8,1088,27,68,194.93,2940.0,573094.2
116,2025-02-13,Theni,Watermelon,156,80,121,6.5,1583,34,60,87.01,12260.0,1066742.6
117,2025-01-05,Tiruvallur,Chili,121,74,93,7.2,987,30,67,48.33,3250.0,157072.5
118,2025-02-06,Palladam,Watermelon,164,71,104,7.0,1292,35,78,56.3,15020.0,845626.0
119,2025-01-15,Sivaganga,Chickpea,81,56,75,6.5,726,23,63,160.48,2100.0,337008.0
120,2025-01-08,Ariyalur,Lemon,134,50,91,6.6,1275,26,63,87.8,16080.0,1411824.0
121,2025-01-26,Perambalur,Maize,154,76,126,7.0,1157,25,85,164.91,4280.0,705814.8
122,2025-01-12,Ramanathapuram,Chickpea,95,57,77,7.0,841,21,58,135.14,3810.0,514883.4
123,2025-01-20,Sivaganga,Cabbage,154,78,114,6.2,887,22,84,152.8,5730.0,875544.0
124,2025-01-07,Chennai,Peas,110,48,66,7.5,997,23,54,127.5,4830.0,615825.0
125,2025-01-16,Thanjavur,Soybean,134,52,90,6.9,821,29,55,34.44,2180.0,75079.2
126,2025-02-01,Palladam,Mango,106,54,95,7.0,812,28,61,31.71,17400.0,551754.0
127,2025-02-03,Tirunelveli,Peas,89,67,87,6.1,860,24,65,188.43,4130.0,778215.9
128,2025-02-11,Tiruvallur,Wheat,85,66,96,7.5,814,21,53,142.6,6620.0,944012.0
129,2025-01-19,Tirupur,Tapioca,99,42,90,7.5,1224,28,75,116.43,14900.0,1734807.0
130,2025-02-17,Tirunelveli,Cotton,124,43,65,7.0,627,28,66,96.19,1330.0,127932.7
131,2025-02-13,Perambalur,Watermelon,165,93,116,7.2,1277,32,52,92.82,10530.0,977394.6
132,2025-01-11,Theni,Maize,122,78,100,7.4,948,26,61,79.76,6540.0,521630.4
133,2025-02-16,Thanjavur,Chili,122,79,88,6.4,901,25,83,51.45,3420.0,175959.0
134,2025-02-13,Ariyalur,Pumpkin,110,40,92,7.0,1032,28,71,146.49,17510.0,2565039.9
135,2025-02-05,Ariyalur,Cabbage,167,69,103,6.3,936,19,61,69.65,5130.0,357304.5
136,2025-01-06,Ramanathapuram,Tomato,137,78,119,7.0,830,24,70,170.03,8430.0,1433352.9
137,2025-01-29,Coimbatore,Carrot,83,55,59,6.8,975,19,54,49.55,10040.0,497482.0
138,2025-01-17,Virdhunagar,Sugarcane,170,80,123,7.1,1957,31,60,168.33,54180.0,9120119.4
139,2025-01-12,Thanjavur,Apple,133,62,116,6.1,977,30,55,133.64,8390.0,1121239.6
140,2025-01-05,Palladam,Lemon,129,56,91,7.0,1232,26,76,66.75,16610.0,1108717.5
141,2025-01-14,Virdhunagar,Onion,120,54,81,6.2,620,22,85,161.42,12620.0,2037120.4
142,2025-01-21,Vellore,Ginger,119,59,73,6.2,1347,28,83,157.36,6180.0,972484.8
143,2025-02-15,Ramanathapuram,Banana,172,100,141,7.5,1431,28,69,137.01,12170.0,1667411.7
144,2025-01-06,Cuddalore,Watermelon,169,80,136,7.3,1350,35,52,48.13,17380.0,836499.4
145,2025-01-20,Namakkal,Pumpkin,125,61,60,7.0,1051,28,84,45.05,12550.0,565377.5
146,2025-02-02,Villupuram,Ginger,90,51,89,6.1,1313,30,82,168.19,6120.0,1029322.8
147,2025-02-12,Kanchipuram,Lemon,126,76,104,7.3,1209,28,74,179.63,16750.0,3008802.5
148,2025-01-14,Tiruvannamalai,Onion,120,72,68,6.0,814,22,69,113.52,8930.0,1013733.6
149,2025-01-31,Salem,Banana,193,99,127,6.6,1548,29,87,180.63,33990.0,6139613.7
150,2025-01-11,Dindigul,Banana,175,90,146,7.0,1383,28,62,121.32,35900.0,4355388.0
151,2025-01-23,Salem,Apple,137,65,91,6.3,889,27,85,159.27,12880.0,2051397.6
152,2025-01-03,Ooty,Banana,186,89,151,7.2,1668,31,63,72.23,21530.0,1555111.9
153,2025-02-18,Ooty,Lemon,126,55,106,7.1,1376,29,56,150.74,18140.0,2734423.6
154,2025-02-11,Karur,Onion,93,73,78,7.2,1004,23,52,79.85,13720.0,1095542.0
155,2025-01-29,Kallakurichi,Ginger,89,54,61,6.5,1597,30,59,20.18,7080.0,142874.4
156,2025-02-10,Namakkal,Soybean,140,46,63,7.1,1067,25,59,190.03,3490.0,663204.7
157,2025-01-08,Vellore,Watermelon,152,93,135,6.8,1273,33,83,145.3,9660.0,1403598.0
158,2025-02-08,Palladam,Onion,102,80,98,7.1,705,20,68,164.19,19350.0,3177076.5
159,2025-01-17,Ramanathapuram,Carrot,66,57,88,7.2,844,20,81,165.49,9610.0,1590358.9
160,2025-01-27,Tiruvallur,Peas,86,69,66,6.9,906,22,65,169.5,9150.0,1550925.0
161,2025-01-05,Tiruvallur,Ginger,98,46,87,7.2,1666,28,79,181.54,5700.0,1034778.0
162,2025-01-14,Tiruvallur,Watermelon,163,76,126,6.9,1554,32,81,50.88,13640.0,694003.2
163,2025-01-10,Ariyalur,Carrot,102,56,78,6.9,643,18,67,163.25,9520.0,1554140.0
164,2025-01-29,Ooty,Chili,129,69,103,7.0,1003,29,50,98.67,3550.0,350278.5
165,2025-02-14,Virdhunagar,Groundnut,100,39,78,6.4,795,23,55,137.34,950.0,130473.0
166,2025-02-08,Madurai,Banana,151,108,124,7.5,1653,30,62,82.49,36150.0,2982013.5
167,2025-02-17,Ooty,Onion,128,56,98,6.9,730,24,64,18.52,12230.0,226499.6
168,2025-01-04,Karur,Pumpkin,121,60,92,7.5,1236,30,70,95.56,11370.0,1086517.2
169,2025-01-10,Ramanathapuram,Brinjal,124,72,69,7.3,849,29,51,35.23,6330.0,223005.9
170,2025-01-01,Sivaganga,Groundnut,88,30,40,6.5,755,27,74,161.45,1620.0,261549.0
171,2025-01-05,Thoothukudi,Cotton,86,69,60,7.2,880,27,58,147.35,1990.0,293226.5
172,2025-02-08,Ooty,Cotton,92,49,78,6.7,831,29,87,139.45,2650.0,369542.5
173,2025-01-07,Theni,Peas,81,53,96,7.1,1006,24,52,18.99,6130.0,116408.7
174,2025-01-05,Kanchipuram,Cotton,82,42,61,6.5,840,26,89,188.4,1390.0,261876.0
175,2025-01-14,Sivaganga,Sugarcane,178,98,125,7.0,1940,30,82,156.04,59520.0,9287500.8
176,2025-02-13,Kallakurichi,Cauliflower,150,78,91,6.6,1030,19,57,66.15,4220.0,279153.0
177,2025-02-13,Tiruvallur,Carrot,86,47,61,7.5,919,21,59,116.35,9050.0,1052967.5
178,2025-02-14,Vellore,Maize,120,79,130,7.2,826,30,78,26.42,7550.0,199471.0
179,2025-02-18,Tiruvallur,Mango,101,78,92,6.8,928,29,64,161.76,28130.0,4550308.8
180,2025-01-12,Virdhunagar,Pumpkin,85,50,67,6.0,884,29,73,169.2,18570.0,3142044.0
181,2025-02-07,Nagapattinam,Carrot,97,55,80,6.6,659,21,79,106.28,11020.0,1171205.6
182,2025-02-14,Kanyakumari,Apple,118,63,94,6.4,999,28,84,144.05,9890.0,1424654.5
183,2025-01-12,Krishnagiri,Rice,135,69,92,5.6,1203,26,55,67.78,3630.0,246041.4
184,2025-02-10,Tiruvannamalai,Rice,114,62,99,6.2,1343,25,79,198.13,5360.0,1061976.8
185,2025-01-19,Ariyalur,Watermelon,150,82,116,7.4,1412,35,87,21.41,18750.0,401437.5
186,2025-01-10,Trichy,Peas,109,57,99,7.2,1077,22,61,167.7,5450.0,913965.0
187,2025-02-03,Palladam,Mango,102,66,84,6.6,1058,27,67,33.77,20960.0,707819.2
188,2025-01-07,Nagapattinam,Onion,116,71,81,7.1,784,20,72,76.7,16040.0,1230268.0
189,2025-02-13,Thanjavur,Apple,115,70,94,6.2,1138,29,54,173.65,11550.0,2005657.5
190,2025-01-07,Villupuram,Cauliflower,103,74,95,6.6,1026,22,65,52.03,7230.0,376176.9
191,2025-01-15,Dindigul,Tomato,125,100,137,6.9,999,22,72,52.24,7220.0,377172.8
192,2025-01-10,Cuddalore,Groundnut,75,53,41,6.8,613,23,90,180.46,1590.0,286931.4
193,2025-02-08,Ariyalur,Pumpkin,100,47,93,6.9,1203,33,80,11.92,15430.0,183925.6
194,2025-01-17,Trichy,Cabbage,125,65,115,7.4,857,22,70,79.68,4110.0,327484.8
195,2025-02-11,Sankagiri,Maize,131,79,131,7.5,1115,25,63,188.09,6650.0,1250798.5
196,2025-02-11,Ramanathapuram,Chili,115,73,99,6.9,902,27,77,163.15,1630.0,265934.5
197,2025-01-31,Tirunelveli,Brinjal,140,58,70,6.5,1197,30,76,181.12,13080.0,2369049.6
198,2025-02-11,Tirunelveli,Lemon,106,63,108,7.2,1467,27,68,31.9,15270.0,487113.0
199,2025-01-23,Tiruvannamalai,Apple,131,81,102,6.2,1103,26,90,66.07,9300.0,614451.0
200,2025-02-14,Pudukkottai,Chickpea,63,54,56,6.2,872,24,61,36.84,4090.0,150675.6
201,2025-02-18,Salem,Apple,134,84,113,6.6,1196,26,88,52.34,5730.0,299908.2
202,2025-02-04,Sivaganga,Rice,117,51,83,6.1,1028,22,73,26.51,2480.0,65744.8
203,2025-01-28,Cuddalore,Peas,119,55,89,7.1,969,21,88,95.13,4870.0,463283.1
204,2025-02-02,Thoothukudi,Peas,87,55,86,7.5,676,24,82,30.41,6280.0,190974.8
205,2025-01-22,Cuddalore,Tomato,151,70,138,6.9,1109,22,77,114.98,9210.0,1058965.8
206,2025-01-16,Salem,Cauliflower,107,63,79,6.6,700,21,68,66.99,5690.0,381173.1
207,2025-02-04,Palladam,Watermelon,150,94,133,7.1,1399,33,79,138.85,17390.0,2414601.5
208,2025-01-24,Kanyakumari,Groundnut,68,52,77,6.2,580,26,74,73.37,800.0,58696.0
209,2025-02-01,Palladam,Onion,122,60,96,7.2,995,23,84,53.98,16880.0,911182.4
210,2025-02-15,Perambalur,Mango,149,78,86,6.8,1085,26,82,92.59,13560.0,1255520.4
211,2025-01-20,Virdhunagar,Lemon,128,61,110,6.6,1426,26,56,153.1,12720.0,1947432.0
212,2025-01-13,Trichy,Rice,126,67,104,6.9,1336,23,87,36.74,5070.0,186271.8
213,2025-01-10,Ooty,Groundnut,82,45,41,6.2,442,25,71,110.62,1890.0,209071.8
214,2025-01-13,Coimbatore,Rice,111,80,108,5.6,1116,25,61,11.43,4590.0,52463.7
215,2025-02-16,Nagapattinam,Banana,191,101,135,6.7,1511,33,80,55.41,31500.0,1745415.0
216,2025-01-15,Tirupur,Carrot,73,56,57,6.7,525,20,73,85.51,8190.0,700326.9
217,2025-01-08,Coimbatore,Tapioca,82,33,61,6.2,1280,30,65,68.48,25880.0,1772262.4
218,2025-02-17,Kallakurichi,Ginger,93,36,88,7.0,1333,28,70,177.32,4690.0,831630.8
219,2025-02-18,Tiruvallur,Rice,125,53,111,6.4,1335,26,89,129.07,5790.0,747315.3
220,2025-01-06,Tiruvallur,Cotton,81,64,80,7.1,858,29,81,41.37,1720.0,71156.4
221,2025-01-10,Kanchipuram,Chickpea,107,56,66,6.7,734,24,52,164.29,5440.0,893737.6
222,2025-02-09,Pudukkottai,Carrot,74,53,54,6.7,958,21,83,135.63,9630.0,1306116.9
223,2025-01-15,Tirupur,Peas,91,59,93,6.0,888,23,90,131.93,9340.0,1232226.2
224,2025-01-06,Erode,Tomato,135,78,109,6.6,1144,24,84,153.36,9030.0,1384840.8
225,2025-02-06,Tirupur,Rice,116,79,94,6.0,1119,24,51,52.38,2140.0,112093.2
226,2025-02-04,Nagapattinam,Tapioca,121,48,66,6.3,1216,29,51,176.34,28660.0,5053904.4
227,2025-02-02,Tirupur,Wheat,128,62,74,6.1,868,22,65,67.81,6850.0,464498.5
228,2025-01-14,Ariyalur,Rice,105,68,101,7.5,1088,23,57,45.17,5520.0,249338.4
229,2025-02-13,Perambalur,Watermelon,149,70,140,7.4,1512,34,76,48.93,17930.0,877314.9
230,2025-02-02,Cuddalore,Tomato,157,89,114,7.2,790,23,77,12.61,5630.0,70994.3
231,2025-01-22,Kanchipuram,Carrot,78,62,72,7.3,567,21,69,107.57,10560.0,1135939.2
232,2025-02-18,Cuddalore,Cotton,89,64,92,7.1,1004,27,58,67.04,1480.0,99219.2
233,2025-01-31,Namakkal,Peas,104,66,80,7.5,1025,25,60,169.24,9770.0,1653474.8
234,2025-01-04,Chennai,Groundnut,64,35,61,6.2,628,25,74,158.94,1630.0,259072.2
235,2025-01-16,Tirupur,Cabbage,170,78,100,7.0,1087,22,87,63.01,3160.0,199111.6
236,2025-01-12,Dindigul,Peas,85,60,83,7.5,865,21,51,192.84,5470.0,1054834.8
237,2025-01-06,Cuddalore,Pumpkin,110,64,98,6.8,864,31,81,168.88,21160.0,3573500.8
238,2025-01-04,Kanyakumari,Ginger,105,31,88,6.6,1512,29,53,86.37,4400.0,380028.0
239,2025-01-24,Palladam,Tapioca,89,31,66,6.7,1475,27,71,176.26,11270.0,1986450.2
240,2025-01-31,Thanjavur,Carrot,86,59,60,6.9,974,19,67,59.14,11430.0,675970.2
241,2025-01-05,Kanyakumari,Maize,144,79,132,6.4,996,28,86,59.69,4840.0,288899.6
242,2025-01-04,Sankagiri,Ginger,100,59,82,7.3,1313,28,77,161.69,5840.0,944269.6
243,2025-01-13,Palladam,Tapioca,120,59,71,6.8,1189,25,54,143.81,24110.0,3467259.1
244,2025-01-20,Tiruvannamalai,Ginger,71,42,83,6.1,1248,32,72,136.15,4100.0,558215.0
245,2025-02-05,Tirunelveli,Tapioca,97,49,76,6.3,1335,28,88,189.35,29800.0,5642630.0
246,2025-01-01,Perambalur,Ginger,98,52,57,6.5,1677,33,76,176.05,6290.0,1107354.5
247,2025-01-28,Ariyalur,Cauliflower,150,71,95,7.1,911,22,63,195.44,4690.0,916613.6
248,2025-01-24,Palladam,Lemon,125,79,75,7.4,1406,29,59,140.91,12500.0,1761375.0
249,2025-02-04,Tiruvannamalai,Chili,120,73,83,7.3,1162,29,50,31.75,1930.0,61277.5
250,2025-02-14,Karur,Rice,100,63,116,6.5,1478,24,74,36.98,5250.0,194145.0
251,2025-01-07,Sankagiri,Cabbage,122,67,108,7.1,1162,18,62,11.81,5380.0,63537.8
252,2025-01-25,Tirunelveli,Tomato,127,100,125,7.5,943,22,90,20.62,8360.0,172383.2
253,2025-02-08,Tiruvannamalai,Maize,148,64,126,7.4,1116,28,68,92.18,6610.0,609309.8
254,2025-02-17,Salem,Cabbage,148,62,82,6.1,913,21,85,92.76,5160.0,478641.6
255,2025-01-11,Sivaganga,Soybean,134,59,87,7.0,859,26,69,44.15,3280.0,144812.0
256,2025-01-09,Erode,Banana,198,104,130,7.2,1570,31,83,193.08,34430.0,6647744.4
257,2025-02-17,Ariyalur,Banana,170,104,126,6.6,1590,28,71,125.74,14310.0,1799339.4
258,2025-01-21,Kanchipuram,Watermelon,166,100,123,7.1,1366,35,78,155.66,16060.0,2499899.6
259,2025-01-12,Trichy,Cauliflower,105,71,99,7.1,959,19,58,89.0,5320.0,473480.0
260,2025-01-27,Tiruvallur,Peas,110,49,95,6.8,864,25,76,191.0,4610.0,880510.0
261,2025-02-09,Dindigul,Onion,111,78,75,7.2,970,24,66,112.14,17000.0,1906380.0
262,2025-02-04,Kanchipuram,Brinjal,124,67,71,6.1,1004,28,67,101.14,8570.0,866769.8
263,2025-02-06,Thanjavur,Pumpkin,130,54,62,6.7,1111,32,54,87.46,18350.0,1604891.0
264,2025-01-09,Coimbatore,Rice,149,78,84,7.0,1326,26,76,53.54,3410.0,182571.4
265,2025-02-17,Kanyakumari,Chili,111,82,80,6.7,1123,29,70,142.55,3980.0,567349.0
266,2025-02-02,Kanyakumari,Cabbage,166,66,87,6.7,1062,19,80,166.41,4640.0,772142.4
